,department,course_num,sec_num,num_of_students,avg_gpa,A,AB,B,BC,C,D,F,S
0,A A E,215,001,49,3.173,16.3,30.6,34.7,8.2,10.2,.,.,.
1,A A E,267,001,24,3.979,95.8,4.2,.,.,.,.,.,.
4,A A E,306,003,8,3.286,50.0,.,25.0,.,.,12.5,.,.
6,A A E,320,001,27,3.769,63.0,22.2,11.1,.,.,.,.,3.7
7,A A E,335,001,146,3.500,47.9,30.8,12.3,0.7,0.7,0.7,4.1,2.1
9,A A E,352,001,81,3.198,27.2,30.9,18.5,11.1,7.4,4.9,.,.
10,A A E,371,001,10,3.500,30.0,30.0,30.0,.,.,.,.,.
11,A A E,373,001,17,3.382,11.8,52.9,35.3,.,.,.,.,.
15,A A E,421,001,26,2.981,15.4,26.9,30.8,15.4,3.8,3.8,3.8,.
16,A A E,422,001,25,3.160,12.0,52.0,12.0,12.0,8.0,4.0,.,.
17,A A E,474,001,26,3.480,53.8,11.5,15.4,11.5,.,3.8,.,3.8
19,A A E,635,001,21,3.289,28.6,4.8,47.6,9.5,.,.,.,.
20,A A E,636,001,26,3.480,42.3,15.4,30.8,7.7,.,.,.,.
0,A F AERO,101,001,10,3.900,80.0,20.0,.,.,.,.,.,.
1,A F AERO,101,002,9,4.000,100.0,.,.,.,.,.,.,.
3,A F AERO,201,001,10,3.800,70.0,20.0,10.0,.,.,.,.,.
4,A F AERO,201,002,14,3.929,85.7,14.3,.,.,.,.,.,.
6,A F AERO,301,001,9,3.944,88.9,11.1,.,.,.,.,.,.
7,A F AERO,401,001,8,3.875,75.0,25.0,.,.,.,.,.,.
0,ACCT I S,100,001,32,3.109,25.0,21.9,21.9,12.5,18.8,.,.,.
1,ACCT I S,100,002,32,2.516,12.5,12.5,12.5,15.6,37.5,6.3,3.1,.
2,ACCT I S,100,003,36,3.153,33.3,11.1,27.8,13.9,11.1,2.8,.,.
3,ACCT I S,100,004,32,3.031,25.0,15.6,15.6,28.1,15.6,.,.,.
4,ACCT I S,100,005,35,3.314,51.4,2.9,22.9,8.6,11.4,2.9,.,.
5,ACCT I S,100,006,35,3.014,25.7,14.3,20.0,17.1,22.9,.,.,.
6,ACCT I S,100,007,36,3.083,36.1,5.6,19.4,16.7,22.2,.,.,.
7,ACCT I S,100,008,34,2.853,17.6,20.6,11.8,26.5,17.6,5.9,.,.
8,ACCT I S,100,009,37,2.865,18.9,10.8,35.1,10.8,18.9,2.7,2.7,.
9,ACCT I S,100,010,35,3.029,28.6,20.0,14.3,14.3,17.1,5.7,.,.
10,ACCT I S,100,011,36,2.972,22.2,13.9,27.8,19.4,11.1,5.6,.,.
11,ACCT I S,100,012,35,3.129,31.4,11.4,28.6,14.3,11.4,2.9,.,.
12,ACCT I S,100,013,35,2.671,20.0,2.9,28.6,17.1,20.0,8.6,2.9,.
13,ACCT I S,100,014,33,2.682,18.2,12.1,21.2,15.2,21.2,9.1,3.0,.
14,ACCT I S,100,015,37,3.054,21.6,21.6,18.9,21.6,16.2,.,.,.
15,ACCT I S,100,100,19,2.711,26.3,10.5,15.8,15.8,21.1,.,10.5,.
17,ACCT I S,211,001,36,3.097,25.0,8.3,41.7,11.1,13.9,.,.,.
18,ACCT I S,211,002,32,2.938,25.0,18.8,25.0,6.3,18.8,.,6.3,.
19,ACCT I S,211,003,34,3.015,26.5,5.9,38.2,8.8,17.6,2.9,.,.
20,ACCT I S,211,004,38,2.947,26.3,5.3,28.9,15.8,21.1,2.6,.,.
21,ACCT I S,211,005,38,3.079,26.3,10.5,31.6,21.1,7.9,2.6,.,.
22,ACCT I S,211,006,34,2.926,20.6,8.8,32.4,17.6,17.6,2.9,.,.
23,ACCT I S,211,007,38,3.066,21.1,7.9,50.0,10.5,7.9,2.6,.,.
24,ACCT I S,211,008,38,3.171,31.6,5.3,47.4,2.6,10.5,2.6,.,.
25,ACCT I S,211,009,38,3.184,28.9,10.5,42.1,10.5,5.3,2.6,.,.
26,ACCT I S,211,010,38,2.974,18.4,.,55.3,10.5,15.8,.,.,.
27,ACCT I S,211,011,38,3.0,15.8,7.9,52.6,13.2,7.9,2.6,.,.
29,ACCT I S,300,001,174,3.276,28.2,33.3,20.7,9.2,5.7,1.7,1.1,.
30,ACCT I S,300,002,54,3.377,27.8,35.2,20.4,13.0,1.9,.,.,1.9
31,ACCT I S,300,003,51,3.353,33.3,29.4,17.6,13.7,5.9,.,.,.
32,ACCT I S,300,004,38,3.25,31.6,23.7,26.3,5.3,10.5,2.6,.,.
34,ACCT I S,301,001,32,3.188,37.5,21.9,12.5,9.4,12.5,6.3,.,.
35,ACCT I S,301,002,42,3.226,23.8,38.1,16.7,2.4,19.0,.,.,.
36,ACCT I S,301,003,39,3.423,48.7,7.7,30.8,5.1,7.7,.,.,.
37,ACCT I S,301,004,40,2.963,22.5,7.5,42.5,10.0,10.0,7.5,.,.
38,ACCT I S,301,005,42,3.345,31.0,11.9,54.8,.,2.4,.,.,.
39,ACCT I S,301,006,41,3.183,22.0,31.7,26.8,9.8,4.9,4.9,.,.
40,ACCT I S,301,007,36,3.139,19.4,30.6,30.6,8.3,5.6,5.6,.,.
0,ACCT I S,302,002,42,3.190,26.2,11.9,40.5,16.7,4.8,.,.,.
2,ACCT I S,310,001,45,3.709,53.3,33.3,4.4,4.4,.,.,.,.
3,ACCT I S,340,001,38,3.329,26.3,15.8,55.3,2.6,.,.,.,.
